REF_DATE,GEO,DGUID,Sex,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,64 years,Persons,249,units ,0,v1060794349,70.1.79,39242,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,65 to 69 years,Persons,249,units ,0,v1060794350,70.1.80,175939,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,65 years,Persons,249,units ,0,v1060794351,70.1.81,37903,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,66 years,Persons,249,units ,0,v1060794352,70.1.82,36511,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,67 years,Persons,249,units ,0,v1060794353,70.1.83,35214,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,68 years,Persons,249,units ,0,v1060794354,70.1.84,33754,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,69 years,Persons,249,units ,0,v1060794355,70.1.85,32557,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,70 to 74 years,Persons,249,units ,0,v1060794356,70.1.86,149668,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,70 years,Persons,249,units ,0,v1060794357,70.1.87,31901,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,71 years,Persons,249,units ,0,v1060794358,70.1.88,30769,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,72 years,Persons,249,units ,0,v1060794359,70.1.89,29633,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,73 years,Persons,249,units ,0,v1060794360,70.1.90,29301,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,74 years,Persons,249,units ,0,v1060794361,70.1.91,28064,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,75 to 79 years,Persons,249,units ,0,v1060794362,70.1.92,124441,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,75 years,Persons,249,units ,0,v1060794363,70.1.93,27715,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,76 years,Persons,249,units ,0,v1060794364,70.1.94,26570,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,77 years,Persons,249,units ,0,v1060794365,70.1.95,24253,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,78 years,Persons,249,units ,0,v1060794366,70.1.96,23669,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,79 years,Persons,249,units ,0,v1060794367,70.1.97,22234,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,80 to 84 years,Persons,249,units ,0,v1060794368,70.1.98,90353,,,,0
